id,channel_id,timestamp,subscriber_count
1,1,2024-12-20 15:14:06.953041,4527
2,1,2024-12-20 22:02:10.949428,4527
3,2,2024-12-20 22:02:11.977030,5814
4,3,2024-12-20 22:02:12.771160,23660
5,4,2024-12-20 22:02:13.990262,74741
6,5,2024-12-20 22:02:15.311542,31038
7,6,2024-12-20 22:02:16.264688,19679
8,7,2024-12-20 22:02:17.299139,18286
9,8,2024-12-20 22:02:18.240035,25905
10,9,2024-12-20 22:02:18.781576,8446
11,10,2024-12-20 22:02:19.276538,21501
12,11,2024-12-20 22:02:19.743892,12202
13,12,2024-12-20 22:02:20.298677,21763
14,13,2024-12-20 22:02:21.305073,8790
15,14,2024-12-20 22:02:22.134648,48414
16,15,2024-12-20 22:02:22.528026,52439
17,16,2024-12-20 22:02:23.616213,5118
18,17,2024-12-20 22:02:24.281333,22949
19,18,2024-12-20 22:02:24.872250,1696
20,19,2024-12-20 22:02:25.586952,9265
21,20,2024-12-20 22:02:26.499543,9028
22,21,2024-12-20 22:02:27.127576,14149
23,22,2024-12-20 22:02:27.711090,8175
24,23,2024-12-20 22:02:28.298161,23555
25,24,2024-12-20 22:02:29.514885,7103
26,25,2024-12-20 22:02:30.152175,11882
27,21,2024-12-20 22:02:30.829250,14149
28,26,2024-12-20 22:02:31.417082,19829
29,1,2024-12-21 02:29:49.930080,4526
30,2,2024-12-21 02:29:50.898482,5816
31,3,2024-12-21 02:29:51.307633,23658
32,4,2024-12-21 02:29:51.820817,74722
33,5,2024-12-21 02:29:52.422032,31039
34,6,2024-12-21 02:29:52.942737,19680
35,7,2024-12-21 02:29:53.726101,18288
36,8,2024-12-21 02:29:54.381551,25910
37,9,2024-12-21 02:29:54.867007,8447
38,10,2024-12-21 02:29:55.294451,21505
39,11,2024-12-21 02:29:55.625371,12204
40,12,2024-12-21 02:29:56.020681,21760
41,13,2024-12-21 02:29:56.733078,8795
42,14,2024-12-21 02:29:57.491007,48414
43,15,2024-12-21 02:29:57.835161,52442
44,16,2024-12-21 02:29:58.838565,5118
45,17,2024-12-21 02:29:59.317579,22948
46,18,2024-12-21 02:29:59.791529,1696
47,19,2024-12-21 02:30:00.366645,9263
48,20,2024-12-21 02:30:01.091352,9027
49,21,2024-12-21 02:30:01.637738,14147
50,22,2024-12-21 02:30:02.211324,8174
51,23,2024-12-21 02:30:02.757913,23559
52,24,2024-12-21 02:30:03.810335,7103
53,25,2024-12-21 02:30:04.246222,11882
54,21,2024-12-21 02:30:04.838178,14147
55,26,2024-12-21 02:30:05.347119,19834
56,1,2024-12-21 10:32:05.766121,4527
57,2,2024-12-21 10:32:07.019185,5818
58,3,2024-12-21 10:32:07.812393,23659
59,4,2024-12-21 10:32:08.487897,74785
60,5,2024-12-21 10:32:09.177383,31050
61,6,2024-12-21 10:32:09.955157,19681
62,7,2024-12-21 10:32:10.932676,18291
63,8,2024-12-21 10:32:11.806560,25912
64,9,2024-12-21 10:32:12.311814,8447
65,10,2024-12-21 10:32:12.724907,21508
66,11,2024-12-21 10:32:13.105034,12205
67,12,2024-12-21 10:32:13.551716,21758
68,13,2024-12-21 10:32:14.352442,8796
69,14,2024-12-21 10:32:15.113826,48400
70,15,2024-12-21 10:32:15.632734,52432
71,16,2024-12-21 10:32:17.132412,5118
72,17,2024-12-21 10:32:17.872782,22949
